Store Nbr	Store Name	FORMATO	WH
15	BA OLUTA	BODEGA	7468
38	MB MASCOTA AEROPUERTO	MIBODEGA	5907
41	BD CONDESA MEXICALI (GASO	BODEGA	4924
43	MB TALPA DE ALLENDE	MIBODEGA	5907
44	MB VEGA DE ALATORRE	MIBODEGA	7471
58	BA SANTA MONICA	BODEGA	7493
64	BD PEROTE ESTADIO	BODEGA	7471
65	MB TLAXIACA MADERO	MIBODEGA	8805
190	SC LOMAS DE SANTA FE	SUPERCENTER	4924
194	BA LOS PUERTOS	BODEGA	7490
383	SC PUERTA TLATELOLCO	SUPERCENTER	7464
460	BA PASEO LAS TORRES	BODEGA	7494
860	MB RODEO	MIBODEGA	5922
861	BD CIMA VICTORIA (GASOLIN	BODEGA	7490
862	BD LOMAS DE JARACHINA	BODEGA	7490
864	MB ZARAGOZA-PUEBLA	MIBODEGA	7471
867	MB PALAU	MIBODEGA	5922
868	BD CIUDAD CUAUHTEMOC	BODEGA	4640
870	BD QUINTA NICTE	BODEGA	4188
887	MB ALTAR	MIBODEGA	4924
888	MB CERRITOS SUR	MIBODEGA	5922
889	SC CUSPIDE SANTA ROSA	SUPERCENTER	7490
890	SC MATAMOROS GARITA	SUPERCENTER	7490
891	BD XOXOCOTLAN	BODEGA	7471
892	MB TOTOTLAN ESTRELLA BLAN	MIBODEGA	5907
893	BD COLINAS CIUDAD VICTORI	BODEGA	7490
981	MB VILLA DE AHOME	MIBODEGA	7487
983	BD VILLA DIAMANTE	BODEGA	7490
984	BD MACULTEPEC TABASCO	BODEGA	7468
1001	BA SAN BUENAVENTURA	BODEGA	7471
1002	BA TEOTIHUACAN	BODEGA	7482
1003	SC PLAYA DEL CARMEN	SUPERCENTER	4188
1004	BA TALLERES REGION 102	BODEGA	4188
1005	BA KABAH	BODEGA	4188
1006	BA HOSPITAL GENERAL	BODEGA	7487
1007	SC HAROLD PAPE MONCLOVA	SUPERCENTER	7490
1008	BA HEROES TECAMAC	BODEGA	7482
1015	SC IRAPUATO	SUPERCENTER	7464
1016	SC MERIDA NORTE	SUPERCENTER	4188
1017	BA QUETZALCOATL	BODEGA	4188
1018	BA TEMIXCO II	BODEGA	7471
1019	BA SAN PEDRITO	BODEGA	7493
1020	WALMART EXPRESS MANUEL AC	WMEXPRESS	7493
1022	SC LOPEZ MATEOS SUR	SUPERCENTER	7493
1023	BOD PERIFERICO SUR VILLAH	BODEGA	7468
1024	BA VILLA DE ALVAREZ	BODEGA	7493
1025	BA ATLIXCO	BODEGA	7471
1026	BA LAS AMERICAS	BODEGA	7482
1027	SC SENDERO	SUPERCENTER	7490
1028	BA BURLOUG CD. OBREGON	BODEGA	7487
1029	BA COMALCALCO	BODEGA	7468
1030	MB AMECAMECA	MIBODEGA	7471
1031	SC TABASCO 2000	SUPERCENTER	7468
1032	SC LOMAS VERDES	SUPERCENTER	7464
1033	BA CADEREYTA	BODEGA	7490
1034	BA HERMOSILLO	BODEGA	7487
1035	BA FORJADORES	BODEGA	7471
1036	BA MERIDA MONTEJO	BODEGA	4188
1037	BA CAMPECHE ESTE	BODEGA	4188
1038	BA CHETUMAL	BODEGA	4188
1039	WALMART EXPRESS ZAVALETA	WMEXPRESS	7471
1044	SC SAN MARCOS IZCALLI	SUPERCENTER	7464
1045	SC DOMINGO DIEZ	SUPERCENTER	7471
1046	BA CD VALLES	BODEGA	7494
1049	BA ESTADIO	BODEGA	7487
1051	BA LAS BRISAS TEPIC	BODEGA	7493
1053	WALMART EXPRESS ACOXPA	WMEXPRESS	7471
1054	SC COLIMA NORTE	SUPERCENTER	7493
1055	BA ORIZABA	BODEGA	7471
1056	BA CD ALTAMIRANO	BODEGA	7494
1057	BA CHILPANCINGO	BODEGA	7471
1058	BA CD HIDALGO	BODEGA	7494
1067	SC DIAMANTE	SUPERCENTER	7471
1068	BA LAGOS DE MORENO	BODEGA	7493
1069	MB CUAUHTEMOC CHALCO	MIBODEGA	7471
1071	MB XILITLA	MIBODEGA	8805
1073	BA OCOTLAN JALISCO	BODEGA	7493
1074	WALMART EXPRESS MARIANO O	WMEXPRESS	7493
1075	WALMART EXPRESS TOLUCA PR	WMEXPRESS	7464
1076	BD JIUTEPEC FUENTES	BODEGA	7471
1077	MB TECAMACHALCO	MIBODEGA	7471
1081	MB CD SAHAGUN	MIBODEGA	8805
1082	BA TAPACHULA NORTE	BODEGA	7468
1083	SC PORTAL SAN ANGEL	SUPERCENTER	7464
1084	SC NICHUPTE	SUPERCENTER	4188
1086	BA DELTA	BODEGA	7493
1087	BA SAHUAYO	BODEGA	7493
1088	BA COMITAN DE DOMINGUEZ	BODEGA	7468
1089	BA SANTA ROSA	BODEGA	7471
1100	WALMART EXPRESS LAS TORRE	WMEXPRESS	7493
1101	BA CIUDAD INDUSTRIAL, TAB	BODEGA	7468
1103	BA PERIFER SUR HERMOSILLO	BODEGA	7487
